3116.2046144675	0.0000333009
3113.1525041693	0.0000324100
3110.1003938710	0.0000313650
3107.0482835728	0.0000306548
3103.9961732746	0.0000300248
3100.9440629764	0.0000294203
3097.8919526782	0.0000287865
3094.8398423800	0.0000280156
3091.7877320818	0.0000273799
3088.7356217836	0.0000270014
3085.6835114854	0.0000268097
3082.6314011872	0.0000268915
3079.5792908890	0.0000266271
3076.5271805908	0.0000259051
3073.4750702926	0.0000245816
3070.4229599944	0.0000226126
3067.3708496962	0.0000208570
3064.3187393980	0.0000193624
3061.2666290998	0.0000188190
3058.2145188016	0.0000190921
3055.1624085034	0.0000198130
3052.1102982052	0.0000208179
3049.0581879069	0.0000215102
3046.0060776087	0.0000219206
3042.9539673105	0.0000218525
3039.9018570123	0.0000214509
3036.8497467141	0.0000206969
3033.7976364159	0.0000199887
3030.7455261177	0.0000194531
3027.6934158195	0.0000194606
3024.6413055213	0.0000201266
3021.5891952231	0.0000210661
3018.5370849249	0.0000222174
3015.4849746267	0.0000229379
3012.4328643285	0.0000232933
3009.3807540303	0.0000232471
3006.3286437321	0.0000229754
3003.2765334339	0.0000227169
3000.2244231357	0.0000224692
2997.1723128375	0.0000223023
2994.1202025393	0.0000220535
2991.0680922410	0.0000216990
2988.0159819428	0.0000209996
2984.9638716446	0.0000199588
2981.9117613464	0.0000185677
2978.8596510482	0.0000170394
2975.8075407500	0.0000157366
2972.7554304518	0.0000149072
2969.7033201536	0.0000148497
2966.6512098554	0.0000153550
2963.5990995572	0.0000164102
2960.5469892590	0.0000174716
2957.4948789608	0.0000184843
2954.4427686626	0.0000191549
2951.3906583644	0.0000195792
2948.3385480662	0.0000197942
2945.2864377680	0.0000198724
2942.2343274698	0.0000198439
2939.1822171716	0.0000197175
2936.1301068734	0.0000195416
2933.0779965751	0.0000195424
2930.0258862769	0.0000198571
2926.9737759787	0.0000207961
2923.9216656805	0.0000219746
2920.8695553823	0.0000232979
2917.8174450841	0.0000243402
2914.7653347859	0.0000251525
2911.7132244877	0.0000258753
2908.6611141895	0.0000267022
2905.6090038913	0.0000278874
2902.5568935931	0.0000289897
2899.5047832949	0.0000299085
2896.4526729967	0.0000302170
2893.4005626985	0.0000300101
2890.3484524003	0.0000292790
2887.2963421021	0.0000284024
2884.2442318039	0.0000275031
2881.1921215057	0.0000267444
2878.1400112075	0.0000261813
2875.0879009092	0.0000259700
2872.0357906110	0.0000259993
2868.9836803128	0.0000262421
2865.9315700146	0.0000263450
2862.8794597164	0.0000263518
2859.8273494182	0.0000262806
2856.7752391200	0.0000263798
2853.7231288218	0.0000267426
2850.6710185236	0.0000270967
2847.6189082254	0.0000272966
2844.5667979272	0.0000270377
2841.5146876290	0.0000265357
2838.4625773308	0.0000258838
2835.4104670326	0.0000256701
2832.3583567344	0.0000258319
2829.3062464362	0.0000264353
2826.2541361380	0.0000269737
2823.2020258398	0.0000273323
2820.1499155416	0.0000271950
2817.0978052433	0.0000269861
2814.0456949451	0.0000268938
2810.9935846469	0.0000273162
2807.9414743487	0.0000281600
2804.8893640505	0.0000293754
2801.8372537523	0.0000306465
2798.7851434541	0.0000318594
2795.7330331559	0.0000327983
2792.6809228577	0.0000333155
2789.6288125595	0.0000333338
2786.5767022613	0.0000329298
2783.5245919631	0.0000324236
2780.4724816649	0.0000320946
2777.4203713667	0.0000323488
2774.3682610685	0.0000330771
2771.3161507703	0.0000341563
2768.2640404721	0.0000350135
2765.2119301739	0.0000355490
2762.1598198757	0.0000356769
2759.1077095775	0.0000357475
2756.0555992792	0.0000358550
2753.0034889810	0.0000359887
2749.9513786828	0.0000360001
2746.8992683846	0.0000358490
2743.8471580864	0.0000357705
2740.7950477882	0.0000360311
2737.7429374900	0.0000367988
2734.6908271918	0.0000378635
2731.6387168936	0.0000388246
2728.5866065954	0.0000393728
2725.5344962972	0.0000393435
2722.4823859990	0.0000391623
2719.4302757008	0.0000391580
2716.3781654026	0.0000395865
2713.3260551044	0.0000401332
2710.2739448062	0.0000405750
2707.2218345080	0.0000409107
2704.1697242098	0.0000416045
2701.1176139116	0.0000429598
2698.0655036133	0.0000449066
2695.0133933151	0.0000469384
2691.9612830169	0.0000487484
2688.9091727187	0.0000501073
2685.8570624205	0.0000512358
2682.8049521223	0.0000522102
2679.7528418241	0.0000531188
2676.7007315259	0.0000535173
2673.6486212277	0.0000532060
2670.5965109295	0.0000518755
2667.5444006313	0.0000502751
2664.4922903331	0.0000489609
